Approved Symbol	Previous Symbols	Synonyms	Chromosome	Ensembl Gene ID	UCSC ID(supplied by UCSC)
ARHGEF7-AS1			13q34	ENSG00000227352	
ARHGEF7-AS2			13q34	ENSG00000235875	
ARHGEF7-IT1			13q34	ENSG00000233644	
ARHGEF9		KIAA0424, PEM-2	Xq11.1	ENSG00000131089	uc011mot.2
ARHGEF9-IT1			Xq11.1	ENSG00000231729	uc033egi.1
ARHGEF10		KIAA0294, Gef10	8p23	ENSG00000104728	uc003wpr.3
ARHGEF10L		FLJ10521, KIAA1626	1p36.13	ENSG00000074964	uc001ban.3
ARHGEF11		KIAA0380, GTRAP48, PDZ-RHOGEF	1q21	ENSG00000132694	uc001fqn.3
ARHGEF12		KIAA0382, LARG	11q23.3	ENSG00000196914	uc001pxl.2
ARHGEF15		KIAA0915, Vsm-RhoGEF, ARGEF15, FLJ13791, MGC44868	17p13.1	ENSG00000198844	uc002glc.3
ARHGEF16		NBR, GEF16	1p36.3	ENSG00000130762	uc001akg.4
ARHGEF17		TEM4, KIAA0337, p164-RhoGEF	11q13.3	ENSG00000110237	uc001otu.3
ARHGEF18		P114-RhoGEF, KIAA0521, MGC15913	19p13.3		uc002mgi.3
ARHGEF19		FLJ33962, WGEF	1p36.13	ENSG00000142632	uc001ayc.1
ARHGEF19-AS1			1p36.13	ENSG00000234166	
ARHGEF25		GEFT, p63RhoGEF	12q13.3	ENSG00000240771	uc009zpy.4
ARHGEF26		DKFZP434D146, SGEF	3q25.2	ENSG00000114790	uc021xgc.1
ARHGEF26-AS1			3q25.2	ENSG00000243069	uc003ezu.1
ARHGEF28		RGNEF, p190RhoGEF, RIP2	5q13.2	ENSG00000214944	uc010izf.3
ARHGEF33			2p22.1	ENSG00000214694	uc021vgd.1
ARHGEF34P			7q35	ENSG00000204959	
ARHGEF35	ARHGEF5L	FLJ43692, CTAGE4	7q35	ENSG00000213214	uc003wdz.2
ARHGEF37		FLJ41603	5q33.1	ENSG00000183111	uc003lra.1
ARHGEF38		FLJ20184	4q24	ENSG00000236699	uc003hxv.2
ARHGEF38-IT1			4q24	ENSG00000249885	uc031sgs.1
ARHGEF39	C9orf100	FLJ14642	9p13.3	ENSG00000137135	uc003zxm.1
ARHGEF40		solo, FLJ10357	14q11.2	ENSG00000165801	uc001vzp.4
ARID1A	C1orf4, SMARCF1	B120, P270, C10rf4, BAF250, BAF250a	1p36.1-p35	ENSG00000117713	uc001bmv.1
ARID1B		KIAA1235, ELD/OSA1, p250R, BAF250b, DAN15, 6A3-5	6q25.3	ENSG00000049618	uc003qqo.3
ARID2		KIAA1557, DKFZp686G052, FLJ30619, BAF200	12q13.11	ENSG00000189079	uc001ros.1
ARID3A	DRIL1	BRIGHT	19p13.3		uc002lql.3
ARID3B		BDP, DRIL2	15q24	ENSG00000179361	uc002ayd.3
ARID3C			9p13.2	ENSG00000205143	uc011lon.2
ARID4A	RBBP1	RBP1, RBP-1	14q22.3	ENSG00000032219	uc001xdp.3
ARID4B	RBP1L1	BCAA, BRCAA1, SAP180	1q42.3	ENSG00000054267	uc001hwq.3
ARID4B-IT1			1q42.3		
ARID5A		MRF-1, RP11-363D14	2p11.1	ENSG00000196843	uc002swe.3
ARID5B		FLJ21150, MRF2	10q11.22	ENSG00000150347	uc001jlt.2
ARIH1		HARI, HHARI, UBCH7BP, ARI	15q24	ENSG00000166233	uc002aut.4
ARIH2		TRIAD1	3p21	ENSG00000177479	uc003cvb.3
ARIH2OS	C3orf71		3p21.31	ENSG00000221883	uc010hkk.1
ARIH2P1	ARIH2P		18q12.1		
ARL1		ARFL1	12q23.2	ENSG00000120805	uc001tib.3
ARL2		ARFL2	11q13	ENSG00000213465	uc001och.4
ARL2-SNX15			11q13.1		
ARL2BP	RP66	BART1, BART	16q13	ENSG00000102931	uc002elf.1
ARL2BPP1		HsT2883	18q23		
ARL2BPP2	ARL2BPL	bcm1040	12q13.13	ENSG00000258071	
ARL2BPP3			13q13.3	ENSG00000215486	
ARL2BPP4			5q23.3	ENSG00000249312	
ARL2BPP5			5q34	ENSG00000254351	
ARL2BPP6			5q35.2	ENSG00000248355	
ARL2BPP7			9q31.1	ENSG00000230418	
ARL2BPP8			17q22		
ARL2BPP9			17q25.3		
ARL2BPP10			22q11.21	ENSG00000225225	
ARL3		ARFL3	10q23.3	ENSG00000138175	uc001kwa.3
ARL4A	ARL4		7p21.3	ENSG00000122644	uc003ssq.3
ARL4AP1	ARL4B, ARL4P	Em:AC022390.2	10q21.3	ENSG00000122872	
ARL4AP2	ARL4P2		4p14	ENSG00000248780	
ARL4C	ARL7	LAK	2q37.2	ENSG00000188042	uc002vvm.5
ARL4D	ARF4L		17q21.31	ENSG00000175906	uc002idt.3
ARL5A	ARL5		2q23.3	ENSG00000162980	uc002txx.1
ARL5AP1			Xq24	ENSG00000227864	
ARL5AP2			10q24.2	ENSG00000236818	
ARL5AP3			1p31.3	ENSG00000228431	
ARL5AP4			22q11.23	ENSG00000224806	
ARL5B	ARL8		10p13	ENSG00000165997	uc001iqd.1
ARL5C	ARL12		17q12	ENSG00000141748	uc010wea.2
ARL6	BBS3	RP55	3q11.2	ENSG00000113966	uc010hoy.4
ARL6IP1	ARL6IP	AIP1, ARMER, KIAA0069, SPG61	16p12-p11.2	ENSG00000170540	uc002dfl.1
ARL6IP1P1	ARL6IPP1		14q11.2	ENSG00000255664	
ARL6IP1P2			10p11.21	ENSG00000225355	
ARL6IP1P3			11q14.1	ENSG00000255014	
ARL6IP4		SR-25, SRp25, SFRS20, SRrp37	12q24.31	ENSG00000182196	uc001ued.4
ARL6IP5		PRAF3, JWA, GTRAP3-18, DERP11, HSPC127, Yip6b	3p14	ENSG00000144746	uc003dnr.3
ARL6IP6		MGC33864	2q23	ENSG00000177917	uc002tyn.3
ARL8A	ARL10B	FLJ45195, Gie2	1q32.1	ENSG00000143862	uc001gxk.2
ARL8B	ARL10C	FLJ10702, Gie1	3p26.1	ENSG00000134108	uc003bqg.3
ARL9			4q12		uc003hby.1
ARL10	ARL10A		5q35.3	ENSG00000175414	uc003mec.1
ARL11		ARLTS1, FLJ33930	13q14.12	ENSG00000152213	uc001vdf.2
ARL13A	ARL13		Xq22.1	ENSG00000174225	uc010nng.3
ARL13B	ARL2L1	DKFZp761H079, JBTS8	3q11	ENSG00000169379	uc003drf.3
ARL14	ARF7	FLJ22595	3q25.33	ENSG00000179674	uc003fdq.3
ARL14EP	C11orf46	FLJ38968, ARF7EP	11p14.1	ENSG00000152219	uc001mso.1
ARL14EPL			5q23.1	ENSG00000268223	uc021yct.1
ARL15	ARFRP2	FLJ20051	5p15.2	ENSG00000185305	uc003jpg.1
ARL16			17q25.3	ENSG00000214087	uc002kbf.3
ARL17A	ARF1P2, ARL17P1		17q21.31	ENSG00000185829	
ARL17B	ARL17		17q21.31	ENSG00000228696	uc002ikk.3
ARMC1		FLJ10511, Arcp	8q12.3	ENSG00000104442	uc003xvl.3
ARMC2		DKFZp434P0714, bA787I22.1	6q21	ENSG00000118690	uc003pss.5
ARMC2-AS1			6q21	ENSG00000230290	uc032xhs.1
ARMC3		FLJ32827, CT81	10p12.31	ENSG00000165309	uc001irm.5
ARMC4		FLJ10817, FLJ10376, DKFZP434P1735, CILD23	10p12.1	ENSG00000169126	uc001itz.3
ARMC4P1			10p12.1	ENSG00000238021	
ARMC5		FLJ13063	16p11	ENSG00000140691	uc010vfn.2
ARMC6		MGC19595	19p13		uc002nlc.3
ARMC7		FLJ22160	17q25		uc002jmw.1
ARMC8		HSPC056, DKFZP434A043, GID5, VID28	3q22	ENSG00000114098	uc011bmf.3
ARMC8P1			9p13.1	ENSG00000225254	
ARMC9		FLJ12584, KIAA1868, ARM, KU-MEL-1	2q37.1	ENSG00000135931	uc032ovg.1
ARMC10		MGC3195, SVH	7q22.1	ENSG00000170632	uc003vax.2
ARMC10P1			3q11.2	ENSG00000178660	
ARMC12	C6orf81	FLJ25390	6p21.31	ENSG00000157343	uc003ola.4
ARMCX1		ALEX1, GASP7	Xq22.1	ENSG00000126947	uc004ehv.3
ARMCX2		ALEX2, KIAA0512, GASP9	Xq22.1	ENSG00000184867	uc004eif.4
ARMCX3		ALEX3, GASP6	Xq22.1	ENSG00000102401	uc004eia.1
ARMCX3-AS1			Xq22.1	ENSG00000228275	
ARMCX4	CXorf35	MGC40053, GASP4	Xq22	ENSG00000196440	uc031tkc.1
ARMCX5		FLJ12969, GASP5	Xq22.1-q22.3	ENSG00000125962	uc004ejh.3
ARMCX5-GPRASP2			Xq22.1	ENSG00000271147	uc022cay.1
ARMCX6		FLJ20811, GASP10	Xq21.33-q22.3	ENSG00000198960	uc004ehy.3
ARMCX7P		ARMCX6-ps, GASP10ps	Xq22.1	ENSG00000204072	
ARMS2		LOC387715, ARMD8	10q26.13	ENSG00000254636	uc001lgi.3
ARMT1	C6orf211	FLJ12910	6q25.1	ENSG00000146476	uc003qok.2
ARNT		HIF-1beta, bHLHe2	1q21	ENSG00000143437	uc001evr.2
ARNT2		KIAA0307, bHLHe1	15q25.1	ENSG00000172379	uc002bfr.3
ARNTL		MOP3, JAP3, BMAL1, PASD3, bHLHe5	11p15	ENSG00000133794	uc001mkp.3
ARNTL2		BMAL2, MOP9, CLIF, PASD9, bHLHe6	12p12.2-p11.2	ENSG00000029153	uc001rhu.2
ARNTL2-AS1			12p11.23	ENSG00000245311	
ARPC1A		SOP2Hs, SOP2L, Arc40	7q22.1	ENSG00000241685	uc003upx.2
ARPC1B		ARC41, p40-ARC, p41-ARC	7q22.1	ENSG00000130429	uc003upz.3
ARPC2		p34-Arc, ARC34	2q36.1	ENSG00000163466	uc002vhd.4
ARPC3		p21-Arc, ARC21	12q24	ENSG00000111229	uc001tqq.4
ARPC3P1	ARPC3B	dJ470L14.3	20q13.13	ENSG00000226284	
ARPC3P2			1q32.3	ENSG00000238137	
ARPC3P3			11q21		
ARPC3P4			11q13.4		
ARPC3P5			6p22.3	ENSG00000214027	
ARPC4		p20-Arc, ARC20	3p25	ENSG00000241553	
ARPC4-TTLL3			3p25.3	ENSG00000250151	
ARPC5		p16-Arc, ARC16, dJ127C7.3	1q	ENSG00000162704	uc021pgb.2
ARPC5L		MGC3038, ARC16-2	9q34.11	ENSG00000136950	uc004bpa.4
ARPIN	C15orf38	MGC61550	15q26.1	ENSG00000242498	
ARPP19		ARPP-19, ARPP-16, ARPP16, ENSAL	15q11.2	ENSG00000128989	uc002acd.1
ARPP21		ARPP-21, TARPP, R3HDM3	3p24.3	ENSG00000172995	uc011axy.2
ARPP21-AS1			3p22.3	ENSG00000230830	
ARR3		ARRX	Xq13.1	ENSG00000120500	uc004dyb.2
ARRB1	ARR1		11q13	ENSG00000137486	uc001owe.2
ARRB2	ARR2	BARR2, DKFZp686L0365	17p13	ENSG00000141480	uc002fyl.3
ARRDC1		MGC40555	9q34.3	ENSG00000197070	uc004cns.3
ARRDC1-AS1	C9orf37		9q34.3	ENSG00000203993	uc004cnz.3
ARRDC2		CLONE24945, PP2703	19p13.12		uc002nhv.3
ARRDC3		KIAA1376	5q14.3	ENSG00000113369	uc003kjz.2
ARRDC3-AS1			5q14.3		uc003kka.4
ARRDC4		FLJ36045	15q26.2	ENSG00000140450	uc010bom.3
ARRDC5			19p13.3		uc002mbm.3
ARSA			22q13.33	ENSG00000100299	uc003bmz.5
ARSB			5q14.1	ENSG00000113273	uc003kfq.4
ARSC2	ARSC		X		
ARSD			Xp22.3	ENSG00000006756	uc004cqy.3
ARSD-AS1			Xp22.33	ENSG00000229851	
ARSDP1	ARSDP	ARSDY1	Yq11.21	ENSG00000225117	
ARSE	CDPX, CDPX1		Xp22.33	ENSG00000157399	uc004crc.4
ARSEP1	ARSEP		Yq11.21	ENSG00000224060	
ARSF			Xp22.3	ENSG00000062096	uc022brz.1
ARSFP1	ARSFP		Yq11.21	ENSG00000232226	
ARSG		KIAA1001	17q24.2	ENSG00000141337	uc002jhc.2
ARSH			Xp22.33	ENSG00000205667	uc011mhj.2
ARSI		FLJ16069, SPG66	5q32		uc003lrv.2
ARSJ		FLJ23548	4q26	ENSG00000180801	uc003ibq.1
ARSK		DKFZp313G1735, TSULF	5q15	ENSG00000164291	uc003kld.3
ART1		ART2, CD296	11p15	ENSG00000129744	uc001lye.1
ART2BP			11q13.4	ENSG00000237408	
ART2P	RT6	ART1P	11q13	ENSG00000238048	
ART3			4q21.1	ENSG00000156219	uc003hjo.3
ART4	DO	DOK1, CD297	12q13.2-q13.3	ENSG00000111339	uc001rcl.1
ART5			11p15.4	ENSG00000167311	uc001lyb.1
ARTN		NBN, EVN, ENOVIN	1p34.1	ENSG00000117407	uc001ckt.3
ARV1			1q42.2	ENSG00000173409	uc001huh.3
ARVCF			22q11.21	ENSG00000099889	uc002zqz.3
ARVD3			14q12-q22		
ARVD4			2q32.1-q32.3		
ARX	MRXS1, PRTS, MRX76, MRX54, MRX43, MRX36, MRX29, MRX32, MRX33, MRX38, MRX87	ISSX, CT121, EIEE1	Xp21.3	ENSG00000004848	uc004dbp.4
AS3MT		CYT19	10q24.33	ENSG00000214435	uc001kwk.3
ASAH1	ASAH	AC, PHP32, FLJ21558	8p22	ENSG00000104763	uc003wyl.2
ASAH2			10q11.23	ENSG00000188611	uc001jjd.3
ASAH2B	ASAH2C	bA449O16.3, ASAH2L, bA98I6.3	10q11.23	ENSG00000204147	uc001jjg.4
ASAP1	DDEF1	PAP, KIAA1249, ZG14P, CENTB4	8q24.1-q24.2	ENSG00000153317	uc003yta.2
ASAP1-IT1	DDEF1IT1	HSPC054, NCRNA00050, ASAP1IT, ASAP1-IT	8q24.21		uc003ytc.3
ASAP1-IT2			8q24.21		
ASAP2	DDEF2	KIAA0400, PAP, SHAG1, CENTB3	2p24	ENSG00000151693	uc002qzh.2
ASAP3	DDEFL1	FLJ20199, UPLC1, CENTB6	1p36.13	ENSG00000088280	uc001bha.2
ASB1		ASB-1	2q37	ENSG00000065802	uc002vyg.3
ASB2		ASB-2	14q31-q32		uc001ycd.3
ASB3		ASB-3	2p16.2	ENSG00000115239	
ASB4		ASB-4	7q21-q22	ENSG00000005981	uc011kij.2
ASB5			4q34.1	ENSG00000164122	uc003iuq.2
ASB6			9q34.13	ENSG00000148331	uc004byf.2
ASB7			15q26.3	ENSG00000183475	uc002bwk.3
ASB8		MGC5540, FLJ21255	12q13.12		uc001rrh.3
ASB9		DKFZP564L0862, MGC4954, FLJ20636	Xp22.2	ENSG00000102048	uc004cwl.3
ASB9P1			15q26.1	ENSG00000258527	uc021svm.3
ASB10	GLC1F		7q35	ENSG00000146926	uc003wjm.1
ASB11		DKFZp779E2460	Xp22.31	ENSG00000165192	uc004cwp.2
ASB12		FLJ39577	Xq11.1	ENSG00000198881	
ASB13		FLJ13134, MGC19879	10p15.1	ENSG00000196372	uc001iig.2
ASB14		DKFZp313L0121	3p21.1		uc032roo.1
ASB15		FLJ43370	7q31.31	ENSG00000146809	uc003vkw.1
ASB16		FLJ30165	17q21.31	ENSG00000161664	uc002ifl.1
ASB16-AS1	C17orf65	DKFZp762C2414	17q21.31	ENSG00000267080	uc021tyb.3
ASB17			1p22.3	ENSG00000154007	uc001dhe.2
ASB18			2q37.2	ENSG00000182177	uc010znh.2
ASCC1		CGI-18, ASC1p50, Em:AC022392.3	10q22.1	ENSG00000138303	uc021pso.1
ASCC2		ASC1p100, FLJ21588, DKFZp586O0223	22q12.1	ENSG00000100325	uc003agr.3
ASCC3	HELIC1	RNAH, ASC1p200, dJ121G13.4, dJ467N11.1	6q16	ENSG00000112249	uc003pqk.4
ASCL1		ASH1, HASH1, bHLHa46	12q22-q23		uc001tjr.4
ASCL2		ASH2, HASH2, bHLHa45	11p15.5	ENSG00000183734	uc001lvu.3
ASCL3		bHLHa42, HASH3, Sgn1	11p15.3		uc001mhd.1
ASCL4		HASH4, bHLHa44	12q24.11	ENSG00000187855	uc001tmr.3
ASCL5		bHLHa47	1q32.1	ENSG00000232237	uc031prl.1
ASD1			5p15.31		
ASF1A		DKFZP547E2110, CIA	6q22.31	ENSG00000111875	uc011ebn.2
ASF1B		FLJ10604	19p13.12	ENSG00000105011	uc002mye.3
ASGR1		CLEC4H1	17p13-p11	ENSG00000141505	uc002ges.5
ASGR2		CLEC4H2	17p	ENSG00000161944	uc002ger.3
ASH1L		huASH1, ASH1, ASH1L1, KMT2H	1q22	ENSG00000116539	uc001fkt.3
ASH1L-AS1			1q22	ENSG00000235919	uc010pge.2
ASH1L-IT1			1q22	ENSG00000227773	
ASH2L	ASH2L1	ASH2L2, ASH2, Bre2	8p11.2	ENSG00000129691	uc003xkt.5
ASH2LP1			22q11.22	ENSG00000224144	
ASIC1	ACCN2	BNaC2, hBNaC2	12q12		uc021qxr.2
ASIC2	ACCN, ACCN1	ASIC2a, BNC1, BNaC1, hBNaC1, MDEG	17q11.2-q12	ENSG00000108684	uc002hhu.3
ASIC3	ACCN3	TNaC1, DRASIC	7q35	ENSG00000213199	uc003wio.3
ASIC4	ACCN4	BNAC4	2q36.1	ENSG00000072182	uc002vma.3
ASIC5	ACCN5	INAC, HINAC	4q32.1	ENSG00000256394	uc003ipe.1
ASIP	AGTIL	ASP	20q11.2-q12	ENSG00000101440	uc002xah.1
ASL			7q11.21	ENSG00000126522	uc003tuo.3
ASLP1	ASLL		22q11.23	ENSG00000244723	
ASMT		HIOMT, ASMTY, HIOMTY	Xp22.3 and Yp11.3	ENSG00000196433	uc010ncy.3
ASMTL			Xp22.3 and Yp11.3	ENSG00000169093	uc004cpx.2
ASMTL-AS1	CXYorf2, NCRNA00105, ASMTLAS, ASMTL-AS	FLJ13330	Xp22.33 and Yp11.32	ENSG00000236017	uc004cpw.3
ASNA1		ARSA-I, GET3, TRC40	19p13.13		uc002muv.3
ASNS			7q21.3	ENSG00000070669	uc003uov.4
ASNSD1		NS3TP1, FLJ20752, NBLA00058	2q32.2	ENSG00000138381	uc002uqt.3
ASNSP1	ASNSL1		8q11.1	ENSG00000248498	
ASNSP2	ASNSL2		21p11.2		
ASNSP3			13q32.3	ENSG00000236554	
ASNSP4			8q11.1	ENSG00000251470	
ASNSP5			1q21.1		
ASNSP6			18p11.21	ENSG00000267333	
ASPA		ASP, ACY2	17p13.3	ENSG00000108381	uc002fvq.3
ASPDH			19q13.33	ENSG00000204653	uc010enz.3
ASPG	C14orf76		14q32.33	ENSG00000166183	uc001yoq.2
ASPH		CASQ2BP1, BAH, JCTN, HAAH	8q12.1	ENSG00000198363	uc003xuj.3
ASPHD1			16p11.2	ENSG00000174939	uc002dut.3
ASPHD2		FLJ39838	22q12.1	ENSG00000128203	uc003acg.2
ASPM	MCPH5	Calmbp1, ASP, FLJ10517, FLJ10549	1q31	ENSG00000066279	uc001gtu.3
ASPN		FLJ20129, SLRR1C, PLAP1	9q22.31	ENSG00000106819	uc004ase.2
ASPRV1		Taps, SASPase, FLJ25084	2p13.3	ENSG00000244617	uc002sfz.5
ASPSCR1		ASPS, ASPL, UBXD9, UBXN9	17q25		uc002kcy.3
ASRGL1		FLJ22316, ALP1, ALP	11q12.3	ENSG00000162174	uc001ntf.4
ASS1	ASS	CTLN1	9q34.1	ENSG00000130707	uc004bzm.3
ASS1P1	ASSP1		6p22.3	ENSG00000220517	
ASS1P2	ASSP2		2p22.1	ENSG00000223922	
ASS1P3	ASSP3		9q21.2		
ASS1P4	ASSP4		Xp22.33	ENSG00000213487	
ASS1P5	ASSP5		Xq23	ENSG00000227881	
ASS1P6	ASSP6		Yq11.21	ENSG00000215583	
ASS1P7	ASSP7		3q26.32	ENSG00000236893	
ASS1P8	ASSP8		4q31.22		
ASS1P9	ASSP9		5q11.2	ENSG00000217791	
ASS1P10	ASSP10		5q32	ENSG00000215325	
ASS1P11	ASSP11	TCAG_1641141	7p15.3	ENSG00000225308	
ASS1P12	ASSP12		9p13.3	ENSG00000237437	
ASS1P13	ASSP13		11q22.3		
ASS1P14	ASSP14		12p11.21		
ASTE1		HT001	3q21.3	ENSG00000034533	uc003env.2
ASTL		ovastacin, SAS1B	2q11.1	ENSG00000188886	uc010yui.2
ASTN1	ASTN		1q25.2	ENSG00000152092	uc001glc.4
ASTN2		KIAA0634	9q33	ENSG00000148219	uc004bjt.2
ASTN2-AS1			9q33.1	ENSG00000229105	
ASUN	C12orf11	FLJ10637, NET48, Mat89Bb, SPATA30	12p12.3	ENSG00000064102	uc001rhk.4
ASXL1		KIAA0978	20q11	ENSG00000171456	uc002wxs.3
ASXL2		ASXH2, FLJ10898, KIAA1685	2p24.1	ENSG00000143970	uc002rgs.2
ASXL3	KIAA1713		18q11		uc010dmg.1
ASZ1	C7orf7, ANKL1	Orf3, GASZ, ALP1, CT1.19	7q31.2	ENSG00000154438	uc003vjb.2
ATAD1		FLJ14600	10q23.31	ENSG00000138138	uc001kez.1
ATAD2		PRO2000, DKFZp667N1320, MGC5254, MGC29843, CT137	8q24.13	ENSG00000156802	uc003yqh.4
ATAD2B		KIAA1240	2p24.1-p23.3	ENSG00000119778	uc002rek.4
ATAD3A		FLJ10709	1p36.33	ENSG00000197785	uc001aga.2
ATAD3B		TOB3, KIAA1273	1p36.33	ENSG00000160072	uc001afv.3
ATAD3C		FLJ34599	1p36.33	ENSG00000215915	uc001aft.2
ATAD5	C17orf41	FLJ12735, FRAG1, ELG1	17q11.2	ENSG00000176208	uc002hfs.1
ATAT1	C6orf134	FLJ13158, Em:AB023049.7, MEC17	6p21.32	ENSG00000137343	uc003nqv.3
ATCAY		BNIP-H	19p13.3	ENSG00000167654	uc002lyy.4
ATD			12p12.2-p11.21		
ATE1			10q26	ENSG00000107669	uc001lfq.4
ATE1-AS1		ENST00000437593	10q26.13	ENSG00000226864	
ATF1		TREB36	12q13	ENSG00000123268	uc001rww.4
ATF1P1			6q16.1	ENSG00000219387	
ATF2	CREB2	TREB7, CRE-BP1, HB16	2q32	ENSG00000115966	uc010fqu.4
ATF3			1q32.3	ENSG00000162772	uc021pit.1
ATF4	TXREB	TAXREB67, CREB-2	22q13.1	ENSG00000128272	uc003axz.3
ATF4P1	TXREBP, ATF4P	TAXREB67P	Xq28	ENSG00000213338	
ATF4P2			Xq28	ENSG00000273041	
ATF4P3	ATF4C		17q25.1	ENSG00000228218	
ATF4P4	ATF4B		11q23.2	ENSG00000256167	
ATF5			19q13.33	ENSG00000169136	uc002prd.3
ATF6		ATF6A	1q23.3	ENSG00000118217	uc001gbs.3
ATF6B	CREBL1	G13	6p21.3	ENSG00000213676	uc003nzn.3
ATF7		ATFA	12q13		uc001sdz.3
ATF7IP		FLJ10688, p621	12p13.1		uc001rbw.4
ATF7IP2		FLJ12668	16p13.2	ENSG00000166669	uc002czu.3
ATG2A		KIAA0404	11q13.1	ENSG00000110046	uc001obx.3
ATG2B	C14orf103	FLJ10242	14q32.31	ENSG00000066739	uc001yfi.3
ATG3	APG3L	PC3-96, FLJ22125, MGC15201, DKFZp564M1178	3q13.2	ENSG00000144848	uc003dzd.4
ATG3P1	ATG3P	dJ54G6.1	20q12	ENSG00000224357	
ATG4A	AUTL2, APG4A		Xq22.3	ENSG00000101844	uc004enr.3
ATG4AP1			Xq21.1	ENSG00000232735	
ATG4B	APG4B	Apg4B, KIAA0943, DKFZp586D1822, AUTL1	2q37.3	ENSG00000168397	uc002wbv.3
ATG4C	AUTL1, APG4C	FLJ14867, AUTL3	1p31.3	ENSG00000125703	uc001dau.4
ATG4D	AUTL4, APG4D	APG4-D	19p13.2	ENSG00000130734	uc002mov.4
ATG5	APG5L	ASP, APG5, hAPG5	6q21	ENSG00000057663	uc003prf.3
ATG7	APG7L	GSA7, DKFZp434N0735	3p25.3-p25.2	ENSG00000197548	uc003bwc.3
ATG9A	APG9L1	FLJ22169	2q35	ENSG00000198925	uc002vkf.2
ATG9B	NOS3AS	FLJ14885, APG9L2, SONE	7q36	ENSG00000181652	uc033apu.1
ATG10	APG10L	DKFZP586I0418, FLJ13954	5q14.1	ENSG00000152348	uc003khr.4
ATG10-AS1			5q14.1	ENSG00000248192	
ATG10-IT1			5q14.1	ENSG00000236447	
ATG12	APG12L	APG12	5q21-q22	ENSG00000145782	uc003krh.3
ATG12P1	ATG12P		17q25.1		
ATG12P2			2q36.1	ENSG00000224121	
ATG13	KIAA0652		11p11.2	ENSG00000175224	uc001nda.3
ATG14	KIAA0831	ATG14L	14q22.2	ENSG00000126775	uc001xbx.2
ATG16L1	APG16L, ATG16L	WDR30, FLJ10035, ATG16A	2q37.1	ENSG00000085978	uc002vty.3
ATG16L2		FLJ00012, WDR80, ATG16B	11q13.4	ENSG00000168010	uc001otd.3
ATG101	C12orf44	FLJ11773	12q13.13	ENSG00000123395	
ATHL1		FLJ22635	11p15.5	ENSG00000142102	uc010qvu.2
ATHS		ALP	19p13.3-p13.2		
ATIC		PURH, AICARFT, IMPCHASE	2q35	ENSG00000138363	uc002vex.4
ATL1	SPG3, SPG3A	FSP1, AD-FSP	14q21.3	ENSG00000198513	uc001wyd.4
ATL2	ARL6IP2		2p22.3	ENSG00000119787	uc002rqq.3
ATL3		DKFZP564J0863	11q13.1	ENSG00000184743	uc001nxk.1
ATM	ATA, ATDC, ATC, ATD	TEL1, TELO1	11q22-q23	ENSG00000149311	uc001pkb.1
ATMIN		ASCIZ, KIAA0431, ZNF822	16q23.2	ENSG00000166454	uc002ffz.1
ATN1	D12S755E, DRPLA	B37	12p		uc001qrw.1
ATOH1		HATH1, MATH-1, Math1, bHLHa14	4q22	ENSG00000172238	uc003hta.1
ATOH7		Math5, bHLHa13	10q22.2	ENSG00000179774	uc001jnq.3
ATOH8		HATH6, FLJ14708, bHLHa21	2p11.2	ENSG00000168874	uc002sqn.3
ATOX1		HAH1	5q32		uc003luk.3
ATP1A1			1p13	ENSG00000163399	uc010oww.3
ATP1A1-AS1	C1orf203, ATP1A1OS	MGC16179	1p13.1	ENSG00000203865	
ATP1A2	MHP2	FHM2	1q23.2	ENSG00000018625	uc001fvc.3
ATP1A3	DYT12		19q13.2	ENSG00000105409	uc010xwf.2
ATP1A4	ATP1AL2		1q23.2	ENSG00000132681	uc001fve.4
ATP1B1	ATP1B		1q24.2	ENSG00000143153	uc001gfr.1
ATP1B1P1	ATP1BL1		4p13	ENSG00000249212	
ATP1B2		AMOG	17p13.1	ENSG00000129244	uc002gif.1
ATP1B3		FLJ29027, CD298	3q23	ENSG00000069849	uc003eug.1
ATP1B3-AS1			3q23	ENSG00000244124	
ATP1B3P1			2p16.1		
ATP1B4			Xq24	ENSG00000101892	uc004esr.3
ATP2A1	ATP2A	SERCA1	16p12.1	ENSG00000196296	uc002dro.1
ATP2A1-AS1			16p11.2	ENSG00000260442	
ATP2A2	ATP2B, DAR	SERCA2	12q24.11	ENSG00000174437	uc001tqk.4
ATP2A3		SERCA3	17p13.3	ENSG00000074370	uc002fwy.2
ATP2B1		PMCA1	12q21.33	ENSG00000070961	uc001tbh.3
ATP2B2		PMCA2	3p25.3	ENSG00000157087	uc003bvt.3
ATP2B2-IT1			3p25.3	ENSG00000236999	
ATP2B2-IT2			3p25.3	ENSG00000224771	
ATP2B3	SCAX1, CLA2	PMCA3, CFAP39	Xq28	ENSG00000067842	uc004fht.1
ATP2B4	ATP2B2, MXRA1	PMCA4	1q32.1	ENSG00000058668	uc001gzw.3
ATP2C1	BCPM	KIAA1347, ATP2C1A, PMR1, SPCA1	3q21.3	ENSG00000017260	uc011bli.2
ATP2C2		KIAA0703, SPCA2	16q24.1	ENSG00000064270	uc002fhx.3
ATP4A		ATP6A	19q13.1	ENSG00000105675	uc002oal.1
ATP4B		ATP6B	13q34	ENSG00000186009	uc001vtz.4
ATP5A1	ATP5AL2, ATPM	ATP5A, hATP1, OMR, ORM	18q21	ENSG00000152234	uc002lbr.2
ATP5A1P1	ATP5AP1		9p12 not on reference assembly		
